category_truth,text
Utilities & Bills,AUTOPAY PG&E ONLINE PYMT BOSTON MA
Groceries,DEBIT CARD PURCHASE WEGMANS #5150 ATLANTA GA 6356HJ
Utilities & Bills,AUTOPAY T-MOBILE SEATTLE WA 800-555-0160
Groceries,SPROUTS FARMERS MKT SEATTLE WA
Transportation,RECURRING PYMT EZPASS TOLL #3617 ATLANTA GA 800-555-0163
Utilities & Bills,ONLINE PAYMENT T-MOBILE #8389 PHOENIX AZ
Transportation,RECURRING PYMT CHEVRON MIAMI FL
Dining & Coffee,SWEETGREEN PHOENIX AZ
Subscriptions & Entertainment,WEB PMT PLANET FITNESS SEATTLE WA JQPB0V
Shopping & Retail,WEB PMT IKEA AUSTIN TX 3920102713
Groceries,POS PURCHASE WEGMANS 800-555-0182
Dining & Coffee,POS PURCHASE PANERA BREAD #5150 AUSTIN TX 800-555-0144
Groceries,POS PURCHASE WHOLEFDS MKT #433 CHICAGO IL
Groceries,COSTCO WHSE MIAMI FL
Dining & Coffee,TST* STARBUCKS DENVER CO
Transportation,POS PURCHASE EXXONMOBIL PHOENIX AZ DUG6NR
Dining & Coffee,POS PURCHASE SWEETGREEN #8413 BOSTON MA
Transportation,CHEVRON #1442
Health & Wellness,POS PURCHASE CITY MEDICAL GROUP CHICAGO IL 9827342287
Utilities & Bills,ACH DEBIT VERIZON WIRELESS #7462 AUSTIN TX
Transportation,POS PURCHASE SHELL OIL #3911 SEATTLE WA 0436831880
Shopping & Retail,WEB PMT IKEA BOSTON MA 800-555-0116
Groceries,DEBIT CARD PURCHASE H MART PHOENIX AZ M1N759
Dining & Coffee,POS PURCHASE MCDONALD S SEATTLE WA
Health & Wellness,ASPEN DENTAL BOSTON MA 6J47TQ
Dining & Coffee,POS PURCHASE UBEREATS DENVER CO
Groceries,KROGER #3222 MIAMI FL
Subscriptions & Entertainment,AUTOPAY HULU COLUMBUS OH
Transportation,RECURRING PYMT EZPASS TOLL SEATTLE WA
Dining & Coffee,SQ *BLUE BOTTLE COFFEE #1895 BOSTON MA
Groceries,SPROUTS FARMERS MKT CHICAGO IL
Dining & Coffee,TST* UBEREATS #4839 SEATTLE WA 800-555-0117
Groceries,WEGMANS #4820 PORTLAND OR
Dining & Coffee,TST* UBEREATS 800-555-0154
Subscriptions & Entertainment,RECURRING PYMT PLANET FITNESS #3016 AUSTIN TX
Transportation,EZPASS TOLL #9383 ATLANTA GA
Health & Wellness,POS PURCHASE RITE AID PHARMACY PORTLAND OR 94119852
Subscriptions & Entertainment,AMAZON PRIME 9075459796
Shopping & Retail,ETSY.COM PHOENIX AZ
Groceries,PIN PURCHASE SAFEWAY AUSTIN TX
Shopping & Retail,DEBIT CARD PURCHASE MICHAELS STORES COLUMBUS OH 800-555-0184
Transportation,POS PURCHASE CITY PARKING AUTH #1985 AUSTIN TX
Utilities & Bills,AUTOPAY COMCAST CABLE COLUMBUS OH 800-555-0154
Dining & Coffee,PANERA BREAD MIAMI FL 3619723857
Subscriptions & Entertainment,WEB PMT AMC THEATRES COLUMBUS OH
